Name	context	language	repository	file	url	split	grammar pattern	Count	Christian Grammar Pattern	Syreen Grammar Pattern	Eman Grammar Pattern	Mahie Grammar Pattern
name1	PARAMETER	C++	meta	src/parser/state_analyzer.cpp	https://github.com/meta-toolkit/meta/blob/c7019401185cdfa15e1193aad821894c35a83e3f/src/parser/state_analyzer.cpp	name 1	N D	125	N D	N D	N D	N D
namewhat	ATTRIBUTE	C	freeminer	lib/lua/src/lua.h	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/lib/lua/src/lua.h	name what	N DT	6	N DT	N DT	N DT	N DT
Net_after_forward	FUNCTION	C++	caffe	python/caffe/_caffe.cpp	https://github.com/BVLC/caffe/blob/9b891540183ddc834a02b2bd81b31afae71b2153/python/caffe/_caffe.cpp	Net after forward	PRE P N	4	PRE P N	PRE P N	PRE P N	NM P N
Net_before_backward	FUNCTION	C++	caffe	python/caffe/_caffe.cpp	https://github.com/BVLC/caffe/blob/9b891540183ddc834a02b2bd81b31afae71b2153/python/caffe/_caffe.cpp	Net before backward	PRE P N	4	PRE P N	PRE P N	PRE P N	PRE P N
Net_before_forward	FUNCTION	C++	caffe	python/caffe/_caffe.cpp	https://github.com/BVLC/caffe/blob/9b891540183ddc834a02b2bd81b31afae71b2153/python/caffe/_caffe.cpp	Net before forward	PRE P N	4	PRE P N	PRE P N	PRE P N	NM P N
netdev_dummy_queue_dump_next	FUNCTION	C	ovs	lib/netdev-dummy.c	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/lib/netdev-dummy.c	netdev dummy queue dump next	PRE PRE N V DT	1	PRE PRE N V DT	PRE PRE N V DT	PRE PRE N V DT	NM NM N V DT
network_pass_socks5proxy	FUNCTION	C	weechat	src/core/wee-network.c	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/core/wee-network.c	network pass socks5 proxy	NM NM NM N	10	NM NM NM N	NM NM NM N	NM NM NM N	NM NM NM N
newParam1	ATTRIBUTE	C++	freeminer	src/rollback.cpp	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/rollback.cpp	new Param 1	NM N D	33	NM N D	NM N D	NM N D	NM N D
newParam2	ATTRIBUTE	C++	freeminer	src/rollback.cpp	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/rollback.cpp	new Param 2	NM N D	33	NM N D	NM N D	NM N D	NM N D
newShape2	DECLARATION	Java	deeplearning4j	nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/checkutil/NDArrayCreationUtil.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/checkutil/NDArrayCreationUtil.java	new Shape 2	NM N D	33	NM N D	NM N D	NM N D	NM N D
next_	ATTRIBUTE	C++	toggldesktop	src/ui/osx/TogglDesktop/TogglDesktopLibrary/Dependencies/jsoncpp/jsoncpp.cpp	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/src/ui/osx/TogglDesktop/TogglDesktopLibrary/Dependencies/jsoncpp/jsoncpp.cpp	next	DT	4	DT	DT	DT	DT
next_bar	ATTRIBUTE	C	weechat	src/gui/gui-bar.h	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/gui/gui-bar.h	next bar	DT N	109	DT N	DT N	DT N	DT N
next_config	ATTRIBUTE	C	weechat	src/core/wee-config-file.h	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/core/wee-config-file.h	next config	DT N	109	DT N	DT N	DT N	DT N
next_daterange	DECLARATION	C	naemon-core	src/naemon/xodtemplate.c	https://github.com/naemon/naemon-core/blob/7558c98937ffb15c040daf158f92827b1f338ba6/src/naemon/xodtemplate.c	next date range	DT NM N	40	DT NM N	DT NM N	DT NM N	DT NM N
next_group	ATTRIBUTE	C	weechat	src/gui/gui-nicklist.h	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/gui/gui-nicklist.h	next group	DT N	109	DT N	DT N	DT N	DT N
next_he	DECLARATION	C	naemon-core	src/naemon/xodtemplate.c	https://github.com/naemon/naemon-core/blob/7558c98937ffb15c040daf158f92827b1f338ba6/src/naemon/xodtemplate.c	next he	DT N	109	DT N	DT PR	DT N	DT N
next_head	FUNCTION	C	git2r	src/libgit2/src/libgit2/remote.c	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/remote.c	next head	DT N	109	DT N	DT N	DT N	DT N
next_ignore	ATTRIBUTE	C	weechat	src/plugins/irc/irc-ignore.h	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/plugins/irc/irc-ignore.h	next ignore	DT V	7	DT V	DT V	DT V	DT V
next_marker	DECLARATION	C++	s3fs-fuse	src/s3fs.cpp	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/s3fs.cpp	next marker	DT N	109	DT N	DT N	DT N	DT N
next_max	ATTRIBUTE	C	ovs	lib/odp-util.h	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/lib/odp-util.h	next max	DT N	109	DT N	DT N	DT N	DT N
next_metadata	FUNCTION	C++	meta	src/corpus/corpus.cpp	https://github.com/meta-toolkit/meta/blob/c7019401185cdfa15e1193aad821894c35a83e3f/src/corpus/corpus.cpp	next metadata	DT N	109	DT N	DT N	DT N	DT N
next_nonsingleton	ATTRIBUTE	C++	rigraph	src/core/isomorphism/bliss/partition.hh	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/core/isomorphism/bliss/partition.hh	next nonsingleton	DT N	109	DT N	DT N	DT N	DT N
next_objectlist	DECLARATION	C	naemon-core	src/naemon/objectlist.c	https://github.com/naemon/naemon-core/blob/7558c98937ffb15c040daf158f92827b1f338ba6/src/naemon/objectlist.c	next object list	DT NM N	40	DT NM N	DT NM N	DT NM N	DT NM N
next_offset	DECLARATION	C	wireshark	epan/dissectors/packet-mrcpv2.c	https://github.com/wireshark/wireshark/blob/13f21ebd59317f59b91ce7a48a234ef48989ccf0/epan/dissectors/packet-mrcpv2.c	next offset	DT N	109	DT N	DT N	DT N	DT N
next_qh	ATTRIBUTE	C	naemon-core	src/naemon/query-handler.c	https://github.com/naemon/naemon-core/blob/7558c98937ffb15c040daf158f92827b1f338ba6/src/naemon/query-handler.c	next qh	DT N	109	DT N	DT N	DT N	DT N
next_real_face	DECLARATION	C++	freeminer	src/circuit_element.cpp	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/circuit_element.cpp	next real face	DT NM N	40	DT NM N	DT NM N	DT NM N	DT NM N
next_se	DECLARATION	C	naemon-core	src/naemon/xodtemplate.c	https://github.com/naemon/naemon-core/blob/7558c98937ffb15c040daf158f92827b1f338ba6/src/naemon/xodtemplate.c	next se	DT N	109	DT N	DT N	DT N	DT N
next_servicesmember	DECLARATION	C	naemon-core	src/naemon/objects_servicegroup.c	https://github.com/naemon/naemon-core/blob/7558c98937ffb15c040daf158f92827b1f338ba6/src/naemon/objects_servicegroup.c	next services member	DT NM N	40	DT NM N	DT NM N	DT NM N	DT NM N
next_tag	DECLARATION	C++	s3fs-fuse	src/fdcache_untreated.cpp	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/fdcache_untreated.cpp	next tag	DT N	109	DT N	DT N	DT N	DT N
nextCastCost	DECLARATION	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/resolver/TypeCastRules.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/resolver/TypeCastRules.java	next Cast Cost	DT NM N	40	DT NM N	DT NM N	DT NM N	DT NM N
nextChar	DECLARATION	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/impl/RegexpUtil.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/impl/RegexpUtil.java	next Char	DT N	109	DT N	DT N	DT N	DT N
nextDouble	FUNCTION	Java	immutables	mongo/src/org/immutables/mongo/bson4gson/BsonReader.java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/mongo/src/org/immutables/mongo/bson4gson/BsonReader.java	next Double	DT N	109	DT N	DT N	DT N	DT N
nextEgress	FUNCTION	C++	proxygen	proxygen/lib/http/session/HTTP2PriorityQueue.cpp	https://github.com/facebook/proxygen/blob/5370e58851d6b363f1edbc542a0daa369ebbf303/proxygen/lib/http/session/HTTP2PriorityQueue.cpp	next Egress	DT N	109	DT N	DT N	DT N	DT N
nextElement	ATTRIBUTE	Java	Openfire	xmppserver/src/main/java/org/jivesoftware/openfire/group/GroupCollection.java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/openfire/group/GroupCollection.java	next Element	DT N	109	DT N	DT N	DT N	DT N
nextEvent	ATTRIBUTE	C	mgba	include/mgba/core/timing.h	https://github.com/mgba-emu/mgba/blob/c8cfaefcc880e668b0db8ba5f8b49978f0d108fd/include/mgba/core/timing.h	next event	DT N	109	DT N	DT N	DT N	DT N
nextField	ATTRIBUTE	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/store/easy/json/StatisticsCollectorImpl.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/store/easy/json/StatisticsCollectorImpl.java	next Field	DT N	109	DT N	DT N	DT N	DT N
nextFieldName	FUNCTION	Java	immutables	criteria/mongo/src/org/immutables/criteria/mongo/bson4jackson/BsonParser.java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/criteria/mongo/src/org/immutables/criteria/mongo/bson4jackson/BsonParser.java	next Field Name	DT NM N	40	DT NM N	DT NM N	DT NM N	DT NM N
NextFilter	PARAMETER	Java	Openfire		https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/openfire/net/StalledSessionsFilter.java	Next Filter	DT N	109	DT N	DT N	DT N	DT N
nextGenerated	DECLARATION	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/compile/ClassTransformer.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/compile/ClassTransformer.java	next Generated	DT V	7	DT V	DT V	DT V	DT V
nextId	ATTRIBUTE	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/schema/SchemaIdGenerator.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/schema/SchemaIdGenerator.java	next Id	DT N	109	DT N	DT N	DT N	DT N
nextInBucket	FUNCTION	Java	guava	guava/src/com/google/common/collect/RegularImmutableMultiset.java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/guava/src/com/google/common/collect/RegularImmutableMultiset.java	next In Bucket	DT P N	3	DT P N	DT P N	DT P N	DT P N
nextInMemory	FUNCTION	Java	Singularity	SingularityService/src/main/java/com/hubspot/singularity/mesos/StatusUpdateQueue.java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityService/src/main/java/com/hubspot/singularity/mesos/StatusUpdateQueue.java	next In Memory	DT P N	3	DT P N	DT P N	DT P N	DT P N
nextInstance	FUNCTION	Java	cglib	cglib/src/main/java/net/sf/cglib/beans/BeanCopier.java	https://github.com/cglib/cglib/blob/5c947539c1218dc4ff1a14a7c36b4856b0ee6397/cglib/src/main/java/net/sf/cglib/beans/BeanCopier.java	next Instance	DT N	109	DT N	DT N	DT N	DT N
nextIntegerIfNotEOF	FUNCTION	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/columnreaders/VarLenColumnBulkInput.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/columnreaders/VarLenColumnBulkInput.java	next Integer If Not EOF	DT NM CJ DT N	1	DT NM CJ DT N	DT NM CJ DT N	DT NM CJ DT N	DT NM CJ DT N
nextKey	DECLARATION	C++	cling	lib/Utils/PlatformWin.cpp	https://github.com/vgvassilev/cling/blob/5e3310ac045d5763cd9852359d1003f3850c2a0c/lib/Utils/PlatformWin.cpp	next Key	DT N	109	DT N	DT N	DT N	DT N
nextLabel	DECLARATION	Java	guava	android/guava/src/com/google/common/util/concurrent/ListenerCallQueue.java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/android/guava/src/com/google/common/util/concurrent/ListenerCallQueue.java	next Label	DT N	109	DT N	DT N	DT N	DT N
nextLocal	ATTRIBUTE	Java	cglib	cglib/src/main/java/net/sf/cglib/core/LocalVariablesSorter.java	https://github.com/cglib/cglib/blob/5c947539c1218dc4ff1a14a7c36b4856b0ee6397/cglib/src/main/java/net/sf/cglib/core/LocalVariablesSorter.java	next Local	DT N	109	DT N	DT N	DT N	DT N
nextNames	DECLARATION	Java	drill	metastore/metastore-api/src/main/java/org/apache/drill/metastore/util/SchemaPathUtils.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/metastore/metastore-api/src/main/java/org/apache/drill/metastore/util/SchemaPathUtils.java	next Names	DT NPL	20	DT NPL	DT NPL	DT NPL	DT NPL
nextPageFromQueue	FUNCTION	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/columnreaders/AsyncPageReader.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/columnreaders/AsyncPageReader.java	next Page From Queue	DT N P N	3	DT N P N	DT N P N	DT N P N	DT N P N
nextPageValue	DECLARATION	Java	drill	contrib/storage-http/src/main/java/org/apache/drill/exec/store/http/HttpBatchReader.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/storage-http/src/main/java/org/apache/drill/exec/store/http/HttpBatchReader.java	next Page Value	DT NM N	40	DT NM N	DT NM N	DT NM N	DT NM N
nextPartitionToReturn	ATTRIBUTE	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/HashAggTemplate.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/HashAggTemplate.java	next Partition To Return	DT N P N	3	DT N P N	DT N P N	DT N P N	DT N P N
nextPC	DECLARATION	C++	facebook-repo-ds2	Sources/Architecture/ARM/SoftwareSingleStep.cpp	https://github.com/fakeNetflix/facebook-repo-ds2/blob/eaf83c59b8fff11cc4c218da7b78a983754727ec/Sources/Architecture/ARM/SoftwareSingleStep.cpp	next PC	DT N	109	DT N	DT N	DT N	DT N
nextPrecompiled	DECLARATION	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/compile/ClassTransformer.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/compile/ClassTransformer.java	next Precompiled	DT NM	3	DT NM	DT NM	DT NM	DT NM
nextPreprocessed	FUNCTION	C++	toggldesktop	third_party/poco/CppParser/src/Parser.cpp	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/poco/CppParser/src/Parser.cpp	next Preprocessed	DT V	7	DT V	DT V	DT V	DT V
nextProtocol	PARAMETER	C++	proxygen	proxygen/lib/http/session/HTTPDefaultSessionCodecFactory.cpp	https://github.com/facebook/proxygen/blob/5370e58851d6b363f1edbc542a0daa369ebbf303/proxygen/lib/http/session/HTTPDefaultSessionCodecFactory.cpp	next Protocol	DT N	109	DT N	DT N	DT N	DT N
nextProtos	PARAMETER	C++	proxygen	proxygen/httpclient/samples/pricli/PriCli.cpp	https://github.com/facebook/proxygen/blob/5370e58851d6b363f1edbc542a0daa369ebbf303/proxygen/httpclient/samples/pricli/PriCli.cpp	next Protos	DT NPL	20	DT NPL	DT NPL	DT NPL	DT NPL
nextRowKeyBatch	FUNCTION	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/join/HashJoinBatch.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/join/HashJoinBatch.java	next Row Key Batch	DT NM NM N	6	DT NM NM N	DT NM NM N	DT NM NM N	DT NM NM N
nextSet	DECLARATION	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/compile/ClassTransformer.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/compile/ClassTransformer.java	next Set	DT N	109	DT N	DT N	DT N	DT N
nextSibling	FUNCTION	C++	toggldesktop	third_party/poco/XML/src/TreeWalker.cpp	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/poco/XML/src/TreeWalker.cpp	next Sibling	DT N	109	DT N	DT N	DT N	DT N
nextSplit	FUNCTION	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/scan/file/FileScanFramework.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/scan/file/FileScanFramework.java	next Split	DT N	109	DT N	DT N	DT N	DT N
nextTask	ATTRIBUTE	Java	guava	android/guava/src/com/google/common/util/concurrent/ExecutionSequencer.java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/android/guava/src/com/google/common/util/concurrent/ExecutionSequencer.java	next Task	DT N	109	DT N	DT N	DT N	DT N
nextTokPtr	PARAMETER	C	toggldesktop	third_party/poco/XML/src/xmltok.c	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/poco/XML/src/xmltok.c	next Tok Ptr	DT NM N	40	DT NM N	DT NM N	DT NM N	DT NM N
nextupd	PARAMETER	C	toggldesktop	third_party/openssl/crypto/ocsp/ocsp_cl.c	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/openssl/crypto/ocsp/ocsp_cl.c	next upd	DT N	109	DT N	DT N	DT N	DT N
nextUpdate	ATTRIBUTE	C	mgba	include/mgba/internal/gb/audio.h	https://github.com/mgba-emu/mgba/blob/c8cfaefcc880e668b0db8ba5f8b49978f0d108fd/include/mgba/internal/gb/audio.h	next update	DT N	109	DT N	DT N	DT N	DT N
nextUpdateTime	ATTRIBUTE	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/work/foreman/rm/DynamicResourceManager.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/work/foreman/rm/DynamicResourceManager.java	next Update Time	DT NM N	40	DT NM N	DT NM N	DT NM N	DT NM N
nextValue	ATTRIBUTE	Java	metrics	metrics-benchmarks/src/main/java/com/codahale/metrics/benchmarks/CounterBenchmark.java	https://github.com/dropwizard/metrics/blob/d6cf6a4e8f6e65a0b6107be6d8d73e00f0d95efa/metrics-benchmarks/src/main/java/com/codahale/metrics/benchmarks/CounterBenchmark.java	next Value	DT N	109	DT N	DT N	DT N	DT N
nfrag_too_small	ATTRIBUTE	C	ovs	lib/dpif-provider.h	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/lib/dpif-provider.h	n frag too small	NM N VM NM	1	NM N VM NM	NM N VM NM	NM N VM NM	NM N VM NM
no_callback	DECLARATION	C	git2r	src/libgit2/src/libgit2/transports/ssh.c	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/transports/ssh.c	no callback	DT N	109	DT N	DT N	DT N	DT N
no_emerge	PARAMETER	C++	freeminer	src/serverenvironment.cpp	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/serverenvironment.cpp	no emerge	VM V	4	VM V	VM V	VM V	VM V
no_in	DECLARATION	C	rigraph	src/core/games/forestfire.c	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/core/games/forestfire.c	no in	NM N	103	NM N	NM N	NM N	NM N
no_log	DECLARATION	C	weechat	src/plugins/logger/logger.c	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/plugins/logger/logger.c	no log	DT N	109	DT N	DT V	DT N	DT N
no_of_edges2	DECLARATION	C	rigraph	src/vendor/cigraph/src/constructors/prufer.c	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/vendor/cigraph/src/constructors/prufer.c	no of edges 2	N P NPL D	1	N P NPL D	N P NPL D	N P NPL D	N P NPL D
no_of_groups	PARAMETER	C	rigraph	src/core/scg/scg.c	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/core/scg/scg.c	no of groups	N P NPL	5	N P NPL	N P NPL	N P NPL	N P NPL
no_of_nodes	DECLARATION	C	rigraph	src/core/centrality/coreness.c	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/core/centrality/coreness.c	no of nodes	N P NPL	5	N P NPL	N P NPL	N P NPL	N P NPL
no_out_types	PARAMETER	C	rigraph	src/vendor/cigraph/src/games/preference.c	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/vendor/cigraph/src/games/preference.c	no out types	NM NM NPL	5	NM NM NPL	NM NM NPL	NM NM NPL	NM NM NPL
no_output	ATTRIBUTE	C++	freeminer	src/client/game.cpp	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/client/game.cpp	no output	DT N	109	DT N	DT N	DT N	DT N
no_random	PARAMETER	C++	freeminer	src/fm_map.cpp	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/fm_map.cpp	no random	DT N	109	DT N	DT N	DT N	DT N
no_replay	DECLARATION	C	toxcore	toxcore/onion_client.c	https://github.com/irungentoo/toxcore/blob/bf69b54f64003d160d759068f4816b2d9b2e1e21/toxcore/onion_client.c	no replay	DT N	109	DT N	DT N	DT N	DT N
no_truncate	PARAMETER	C++	s3fs-fuse	src/cache.cpp	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/cache.cpp	no truncate	DT V	7	DT V	DT V	DT V	DT V
noAttributes	ATTRIBUTE	Java	immutables	value-processor/src/org/immutables/value/processor/AbstractValuesTemplate.java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/value-processor/src/org/immutables/value/processor/AbstractValuesTemplate.java	no Attributes	DT NPL	20	DT NPL	DT NPL	DT NPL	DT NPL
nocache	PARAMETER	C	freeminer	src/map.h	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/map.h	no cache	DT N	109	DT N	DT N	DT N	DT N
nodata_pages	DECLARATION	C++	s3fs-fuse	src/fdcache_entity.cpp	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/fdcache_entity.cpp	no data pages	DT NM NPL	5	DT NM NPL	DT NM NPL	DT NM NPL	DT NM NPL
node2	PARAMETER	C++	panda3d	panda/src/pgraph/sceneGraphReducer.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/pgraph/sceneGraphReducer.cxx	node 2	N D	125	N D	N D	N D	N D
noDelay	DECLARATION	C++	drill	contrib/native/client/src/clientlib/channel.cpp	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/native/client/src/clientlib/channel.cpp	no Delay	DT N	109	DT N	DT N	DT N	DT N
nodig_delay_timer	ATTRIBUTE	C++	freeminer	src/client/game.cpp	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/client/game.cpp	no dig delay timer	DT N NM N	1	DT N NM N	DT N NM N	DT N NM N	DT N NM N
noError	FUNCTION	C++	proxygen	proxygen/lib/http/session/HQSession.cpp	https://github.com/facebook/proxygen/blob/5370e58851d6b363f1edbc542a0daa369ebbf303/proxygen/lib/http/session/HQSession.cpp	no Error	DT N	109	DT N	DT N	DT N	DT N
noInterfaces	ATTRIBUTE	Java	deeplearning4j	deeplearning4j/deeplearning4j-core/src/main/java/org/deeplearning4j/core/util/UIDProvider.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/deeplearning4j/deeplearning4j-core/src/main/java/org/deeplearning4j/core/util/UIDProvider.java	no Interfaces	DT NPL	20	DT NPL	DT NPL	DT NPL	DT NPL
noise2	PARAMETER	C++	freeminer	src/mapgen/mapgen_carpathian.cpp	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/mapgen/mapgen_carpathian.cpp	noise 2	N D	125	N D	N D	N D	N D
nolockLock	FUNCTION	C	ccv	lib/3rdparty/sqlite3/sqlite3.c	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/3rdparty/sqlite3/sqlite3.c	no lock Lock	DT NM N	40	DT NM N	DT NM N	DT NM N	DT NM N
nologo	PARAMETER	C	cling	include/cling/UserInterface/UserInterface.h	https://github.com/vgvassilev/cling/blob/5e3310ac045d5763cd9852359d1003f3850c2a0c/include/cling/UserInterface/UserInterface.h	no logo	DT N	109	DT N	DT N	DT N	DT N
none	DECLARATION	C++	meta	src/classify/tools/online_classify.cpp	https://github.com/meta-toolkit/meta/blob/c7019401185cdfa15e1193aad821894c35a83e3f/src/classify/tools/online_classify.cpp	none	DT	4	DT	DT	DT	DT
noReply	PARAMETER	Java	Smack	smack-extensions/src/main/java/org/jivesoftware/smackx/address/MultipleRecipientManager.java	https://github.com/igniterealtime/Smack/blob/19b20fefeca69cccc3637e01ec2f151a054a3351/smack-extensions/src/main/java/org/jivesoftware/smackx/address/MultipleRecipientManager.java	no Reply	DT N	109	DT N	DT N	DT N	DT N
normalize_by_rebuilding	FUNCTION	C++	panda3d	panda/src/egg/eggXfmSAnim.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/egg/eggXfmSAnim.cxx	normalize by rebuilding	V P V	6	V P V	V P V	V P V	V P V
noRuntime	PARAMETER	C++	cling	lib/Interpreter/Interpreter.cpp	https://github.com/vgvassilev/cling/blob/5e3310ac045d5763cd9852359d1003f3850c2a0c/lib/Interpreter/Interpreter.cpp	no Runtime	DT N	109	DT N	DT N	DT N	DT N
